Plane Section: Position[X] (m),Plane Section: Position[Y] (m)
-0.2578125,0.016421234
-0.257434265,0.016893573
-0.257223417,0.023581363
-0.256657025,0.018846698
-0.256514474,0.031856354
-0.25597885,0.021295477
-0.255886148,0.020799823
-0.254478728,0.031122334
-0.2525235,0.030417232
-0.250726754,0.029771242
-0.249890104,0.029468039
-0.248613586,0.02900554
-0.246606504,0.028281307
-0.244703638,0.027593941
-0.242749178,0.026886731
-0.240808532,0.026183647
-0.238841271,0.025469526
-0.236887911,0.02475929
-0.235018175,0.024078513
-0.232982221,0.023335992
-0.231030094,0.022622371
-0.229239019,0.021971604
-0.227127011,0.021191913
-0.225127012,0.020456189
-0.224858297,0.020357207
-0.223225176,0.019758023
-0.221274038,0.019041685
-0.219339353,0.018330583
-0.217372417,0.017607208
-0.21542184,0.016889328
-0.21355757,0.016202651
-0.21152109,0.015452459
-0.209571356,0.014732262
-0.207785491,0.014078099
-0.205674195,0.013285533
-0.203683494,0.012532246
-0.202478752,0.012072993
-0.201786044,0.011814046
-0.199838116,0.011088888
-0.197908729,0.010371611
-0.195941106,0.009641743
-0.19399232,0.008918943
-0.192133244,0.008227153
-0.190098218,0.007463808
-0.188157411,0.006719085
-0.186378733,0.006056211
-0.184840672,0.005445169
-0.18427458,0.005232982
-0.182280039,0.004498242
-0.180371668,0.003802054
-0.178417682,0.003093539
-0.176484409,0.002395339
-0.174687953,0.001749882
-0.174506863,0.001684334
-0.172552803,9.76E-04
-0.170691381,3.00E-04
-0.168645677,-4.43E-04
-0.166692279,-0.00115346
-0.164911044,-0.001798145
-0.16278677,-0.002577252
-0.16249238,-0.002688226
-0.160742541,-0.003167469
-0.158846571,-0.003905739
-0.156889244,-0.004605071
-0.154941546,-0.005255215
-0.154300758,-0.005462363
-0.152950758,-0.005938263
-0.150992457,-0.006634921
-0.149131118,-0.007302034
-0.147079909,-0.008039377
-0.145125449,-0.008746588
-0.143351818,-0.009400872
-0.141218216,-0.010165647
-0.139226054,-0.010890895
-0.137313849,-0.011592578
-0.135361316,-0.012305085
-0.133436493,-0.013009629
-0.131459195,-0.013738188
-0.129507029,-0.014451701
-0.127654428,-0.015133519
-0.125611669,-0.01590338
-0.125517293,-0.015938687
-0.123566054,-0.016671507
-0.121805702,-0.017323194
-0.119772264,-0.018090885
